XBP1	GATA3	class
2.7836	2.2544	1
-0.3359	-0.764	0
-1.0298	2.2355	0
2.6186	3.1732	1
2.523	2.7418	1
2.7897	2.4552	1
3.5428	2.1093	1
0.0481	1.1086	0
2.4038	1.3609	1
1.3051	1.1086	0
2.8399	2.9727	1
1.1184	1.7778	1
1.1918	1.3104	1
-0.9178	-1.3112	0
2.8962	1.6862	0
3.5615	3.8638	1
-0.4313	1.1086	0
3.8288	2.6319	1
3.136	2.1901	1
1.5876	0.2043	0
-1.5978	-1.1112	0
1.8193	1.8838	1
2.682	2.4671	0
-1.1475	1.1086	0
1.8867	2.4488	1
1.7534	2.3873	1
2.231	2.126	1
-1.2487	1.1086	0
1.3755	0.1528	0
2.8607	0.1326	0
1.5351	1.1086	0
1.5781	1.7933	1
-0.6771	0.9052	0
-1.6147	-1.2153	0
0.7983	1.1086	1
1.6091	1.8441	0
1.6606	-0.092	0
1.6434	1.8325	1
-1.166	-0.4205	0
1.2201	0.3223	0
0.8509	-1.2006	0
1.6589	2.9639	1
-0.6169	-1.843	0
0.1842	1.5382	0
1.4519	2.147	1
-1.2587	-0.9704	0
2.2608	3.1092	1
0.6818	1.7903	1
2.3556	2.0011	1
0.0563	0.0029	0
1.6294	-0.8403	0
0.4082	0.797	0
0.8119	-1.2977	0
0.389	3.4625	0
1.3854	2.0242	1
0.8596	-0.0338	0
-0.2146	-2.1571	0
0.7819	1.1086	0
2.5839	2.333	1
0.9333	-0.9678	0
2.224	0.2852	0
-0.0364	-0.4059	1
-0.9206	-0.8058	0
1.6891	2.3818	1
-1.3254	-0.6107	0
2.1451	1.6342	1
-0.0219	-3.4481	0
1.5127	0.573	0
-1.9679	1.1086	0
1.0104	2.3967	0
2.5427	1.2715	0
0.8749	-1.2878	0
2.5663	2.5486	1
1.8346	3.0492	1
2.1856	1.9235	1
-0.8256	0.8036	0
1.9383	1.6311	1
1.8759	-0.6931	0
1.021	0.6517	0
0.9473	-0.6869	0
1.3202	-0.5787	0
1.8873	1.832	1
2.8478	2.2779	1
1.3424	2.5639	1
1.2243	-1.1525	0
2.4804	2.5864	1
0.4483	0.2777	0
-0.4872	1.1086	0
2.4821	2.3423	1
-0.9011	0.1154	0
-1.516	1.1086	0
3.4796	2.9409	1
1.0311	2.0421	1
1.3834	1.9163	1
2.7383	2.1722	0
2.0771	1.4528	0
2.1396	2.894	1
0.8852	1.1582	0
2.7737	2.2382	1
2.3226	2.4991	1
2.4375	-0.7596	0
2.7557	0.7786	0
1.2332	1.8336	0
2.5307	1.4419	1
1.058	0.9129	0
